,0
8041171,1
7003695,6
106621,43
20021464,12
8009369,6
8020718,17
104887,12
20008590,14
8108104,25
8058456,35
8021773,48
8017769,12
8066101,9
11305235,6
8082937,6
8031670,25
8040538,17
8110161,9
11307126,17
8017499,6
10000385,12
8003870,2
8035310,13
102859,26
8086037,19
8102660,30
104693,6
20000630,6
8053715,20
2103336,12
8038021,6
8104914,26
20011300,26
3000272,29
8105675,6
8044275,38
10000616,47
8037994,6
8031919,6
8089488,30
8067847,6
2104840,11
3000813,17
8041440,4
104283,12
8116684,10
11301943,12
11300698,6
8008977,6
8088244,30
7001568,9
8000543,9
8016134,35
8033206,6
8107185,18
8115165,5
20005976,6
2100974,14
8096615,6
8082483,9
8065000,6
8101276,9
9000997,9
8085884,20
8031493,24
7002548,6
8009703,6
10005517,6
8107519,32
2103281,18
8093500,20
8109389,12
11120081,12
8034300,22
8037866,9
8115527,12
20020841,23
8079615,12
8081922,25
8039658,24
8094294,6
8031955,15
8039548,6
103735,26
8056844,1
8065436,6
8062090,1
11120239,6
8077107,6
10385,17
8080087,14
8108756,12
8094140,6
8086930,25
8044443,33
8081026,6
8003778,9
8015067,17
8083334,15
8059310,17
1111181,27
107514,37
8016043,8
8034062,0
8075694,21
8077705,30
8087013,6
8045909,12
8031728,3
8014596,6
8017118,17
20005035,6
10003114,17
8095868,29
8007243,35
8095115,12
8062283,25
8008417,6
20010720,11
8092296,29
13000317,12
8086325,6
11304883,17
8038496,6
20020002,12
20001246,12
8007032,6
8041795,12
100784,12
11307165,40
8084801,10
8036624,6
2106039,17
8060576,6
8005327,6
8034895,35
8002232,29
8098367,1
8031939,23
8071662,35
11265,23
8110577,6
8007603,6
8059767,9
8037244,35
12000134,6
8101171,17
1111407,36
8036844,17
8096405,14
2104097,22
11303289,45
8009448,44
11303072,6
8081349,6
106328,6
8083100,6
8084660,6
20006047,8
100115,34
8050362,5
8100553,22
8069187,12
8093184,2
8019457,12
8010966,23
8070781,10
9000334,37
8056850,16
8097295,9
8079473,43
8066811,14
8056329,6
8017366,6
8031541,6
8076185,36
8083455,8
8061195,44
8092272,6
8012943,25
8001804,3
8022703,40
8007750,6
10003397,6
2104925,9
3002110,12
11301958,7
8019613,5
8082296,6
8100156,24
8091135,6
8110418,6
8100314,30
8074762,6
8057530,17
8101669,17
8084059,12
8110401,35
8100162,20
8087305,17
8016055,12
8011487,27
8047190,9
11126,33
8014611,6
20001818,6
8074126,31
8009680,41
8109898,9
8004243,6
8046516,6
8106899,13
8090895,33
8078542,31
8066747,48
11302491,29
8038720,47
10000572,6
8072485,12
3000920,10
8056853,6
8017684,19
8065085,11
8034028,12
8095337,9
106885,6
100894,30
8105133,0
105233,6
8034741,10
7000260,37
8069072,26
8079285,36
8112426,6
8015718,27
8003533,20
106352,46
10763,30
8054578,12
8065686,6
10002577,22
8064872,10
8036531,18
8088221,40
8091244,6
8004815,6
8112061,12
8051323,17
8036521,2
8035523,9
8021485,18
8036185,11
9001302,6
8046241,6
9000868,9
8112011,36
104138,12
8056736,6
7003383,6
8089558,16
8063782,6
8055616,22
20001732,6
8054824,1
8053221,8
8107532,3
10005594,6
8046496,6
8087318,39
20021514,6
8066929,35
8091968,25
20012304,6
8076704,30
7002502,5
8089066,6
8084241,39
8020597,12
8039029,9
11303944,35
8046992,17
104355,6
8017819,6
8111986,33
8012506,1
8001781,20
8073958,18
8059132,18
8108323,44
8011506,33
20020112,48
8102083,1
7002910,17
8053343,36
8003827,1
7001779,12
11305468,9
8109961,10
10006989,17
20005043,20
8012864,34
8044305,6
8078518,41
8006381,30
11302307,6
13000667,26
11301433,6
8110101,6
20007138,29
8096682,12
11284,6
8030826,20
8047072,12
8069550,22
11120049,5
8107409,9
8099759,6
8114543,16
8014793,10
11301038,12
3000571,44
8058789,6
8109082,0
8006366,6
11301109,35
20009546,6
12000115,6
8063091,6
8013797,18
8080829,6
8102635,1
8105024,6
8013522,43
